TIME,27.7576,30.2811,32.8045,35.3279,37.8513,40.3748,42.8982,45.4216,47.945,50.4684,52.9919,55.5153,58.0387,60.5621,63.0856,65.609,68.1324,70.6558,73.1792,75.7027,78.2261,80.7495,83.2729,85.7964,88.3198,90.8432,93.3666,95.89,98.4135,100.937,103.46,105.984,108.507,111.031,113.554,116.077,118.601,121.124,123.648,126.171,128.695,131.218,133.741,136.265,138.788,141.312,143.835,146.358,148.882,151.405,153.929,156.452,158.976,161.499,164.022,166.546,169.069,171.593,174.116,176.64,179.163,181.686,184.21,186.733,189.257,191.78,194.304,196.827,199.35,201.874,204.397,206.921,209.444,211.967,214.491,217.014,219.538,222.061,224.585,227.108,229.631,232.155,234.678,237.202,239.725,242.249,244.772,247.295,249.819,252.342,254.866,257.389,259.912,262.436,264.959,267.483,270.006,272.53,275.053,277.576,280.1,282.623,285.147,287.67,290.194,292.717,295.24,297.764,300.287,302.811,305.334,307.858,310.381,312.904,315.428,317.951,320.475,322.998,325.521,328.045,330.568,333.092,335.615,338.139,340.662,343.185,345.709,348.232,350.756,353.279,355.803,358.326,360.849,363.373,365.896,368.42,370.943,373.466,375.99,378.513,381.037,383.56,386.084,388.607,391.13,393.654,396.177,398.701,401.224,403.748,406.271,408.794,411.318,413.841,416.365,418.888,421.411,423.935,426.458,428.982,431.505,434.029,436.552,439.075,441.599,444.122,446.646,449.169,451.693,454.216,456.739,459.263,461.786,464.31,466.833,469.357,471.88,474.403,476.927,479.45,481.974
0.000000000,77.5984,323.711,300.5,81.9886,210.717,470.59,141.65,138.685,509.129,254.08,73.2605,274.87,428.376,117.72,187.543,435.382,149.995,194.62,272.923,182.505,183.468,302.769,191.554,109.902,441.344,251.573,63.9135,324.001,376.701,107.781,160.904,539.428,172.589,134.583,399.107,224.034,176.901,210.691,268.91,149.745,246.784,251.811,111.971,274.288,343.007,117.145,161.364,451.71,183.83,82.2234,382.881,342.682,68.2139,226.56,517.774,126.935,200.988,462.91,115.477,215.489,341.094,144.195,153.059,422.156,214.201,78.8636,553.076,335.97,40.0948,348.875,453.177,103.926,184.004,510.771,139.073,165.992,366.874,155.302,174.843,285.176,229.408,91.9768,412.686,284.526,56.0132,399.798,349.646,85.5651,187.741,510.637,166.619,134.301,395.373,186.229,138.496,180.087,307.242,132.953,241.045,338.652,55.0051,392.059,337.333,88.4317,258.358,360.311,219.118,83.3393,426.956,289.255,66.0051,275.245,309.761,155.494,139.881,346.343,181.098,170.303,265.026,146.431,204.778,251.073,218.472,88.3219,353.36,360.334,40.4859,329.505,385.043,123.528,119.78,435.345,269.179,83.4595,366.549,249.139,133.953,210.153,266.955,112.192,261.395,367.542,42.7857,348.506,474.483,78.288,201.808,476.238,222.102,59.8889,454.316,352.059,52.1875,319.951,324.757,90.1146,256.184,314.009,85.2038,296.392,308.128,77.2118,235.981,364.262,179.771,79.7514,460.589,330.942,38.334,357.188,340.592,114.992,158.267,344.58,200.663,143.979,304.788,137.381,219.165,275.228,179.25
1.486077098,25.6108,461.977,283.233,72.6274,176.729,722.359,212.997,206.604,769.22,241.804,54.0468,247.347,571.445,166.604,257.335,725.477,57.7286,270.429,238.042,185.169,130.29,348.774,240.748,56.3418,666.934,345.075,46.4491,401.941,381.226,155.144,149.504,947.008,266.441,239.144,573.386,124.867,224.586,128.351,383.507,75.8468,319.117,296.152,61.9976,301.804,368.173,137.031,143.437,705.527,207.066,85.4235,463.072,400.284,48.4391,236.917,795.078,189.067,312.802,786.504,43.7299,311.039,358.984,130.559,95.6566,563.344,359.679,91.9533,924.987,452.503,20.6797,411.666,548.165,145.25,227.131,864.955,143.739,237.113,505.793,84.3372,208.554,234.57,307.586,12.6997,685.879,545.338,83.8406,598.607,293.427,111.332,163.058,844.115,237.093,201.513,615.361,93.1842,193.166,87.2395,460.957,126.166,318.642,596.694,0.898458,650.515,436.164,35.5822,316.061,312.432,328.19,11.8283,739.532,400.355,53.4866,308.842,302.061,182.628,95.6245,489.907,158.833,163.353,350.721,72.3794,254.81,193.098,278.247,29.0223,485.309,612.3,2.00106,534.892,396.664,116.296,54.6672,630.619,423.452,58.2184,579.298,185.954,144.622,150.141,347.99,82,324.507,602.575,6.55487,524.093,677.308,44.1014,251.031,583.21,291.256,26.5247,695.947,506.17,8.03764,436.824,370.136,46.4277,278.689,445.236,20.3222,418.756,416.493,20.3666,284.66,366.533,237.239,25.8786,723.548,509.911,17.3329,508.546,379.278,73.5461,137.62,381.599,277.946,81.1822,535.379,43.5264,346.79,225.266,204.729
2.972154195,92.7385,593.253,204.869,73.8221,148.242,1002.12,432.491,424.522,1024.95,222.802,37.302,194.625,624.255,374.17,506.416,1273.46,43.774,440.504,111.007,227.559,44.9762,392.904,255.958,33.2863,969.376,577.342,137.485,422.213,317.811,251.405,235.897,1467.86,606.598,564.025,852.972,16.3621,334.752,36.9057,567.382,32.8442,431.85,345.427,30.1029,311.337,307.346,202.428,176.272,1088.13,278.997,136.417,428.45,477.7,35.4237,230.48,1035.81,485.993,679.238,1295.04,62.305,431.621,312.213,107.294,41.7895,661.99,630.571,289.199,1423.82,602.595,58.2695,441.604,534.368,262.619,375.074,1437.54,281.005,414.557,544.457,53.5652,212.768,206.078,305.964,102.665,1314.77,1508.15,609.794,805.959,185.345,228.794,290.373,1052.26,460.302,426.644,1027.49,14.5916,314.898,5.23175,683.05,252.301,538.932,1037.66,127.056,1010.64,540.131,26.984,373.011,185.559,463.406,74.3333,1335.91,740.63,198.444,278.078,297.912,251.13,121.85,560.976,169.929,145.375,522.926,1.64633,364.571,74.1502,373.763,24.7256,661.285,980.043,132.935,864.746,348.304,112.115,4.95644,919.634,728.257,186.043,845.405,116.554,172.475,62.2283,441.397,141.328,495.404,949.371,84.4883,702.367,860.943,84.9822,356.034,566.485,367.894,77.3072,1052.59,692.879,36.6067,530.051,385.599,15.1743,269.012,591.942,29.5881,621.218,549.305,6.03455,296.952,318.397,270.456,32.513,1086.35,880.319,135.515,596.265,372.432,30.7605,148.598,283.963,449.132,89.5234,1118.33,122.597,798.671,94.1598,392.994
4.458231293,392.215,692.846,104.817,78.5753,155.045,1236.39,853.689,822.525,1204.46,212.624,32.6022,132.75,570.228,735.008,1098.77,2166.17,336.581,694.253,13.8382,304.182,5.61398,459.733,193.289,62.0836,1389.71,1106.2,413.175,328.237,265.6,320.55,430.863,2183.84,1196.1,1048.58,1281.21,73.5573,628.533,104.513,780.707,73.517,525.406,481.066,72.3261,250.077,237.074,251.927,304.273,1632.39,511.498,217.306,291.951,584.518,52.8649,184.483,1204.57,1083.33,1433.14,2007.05,267.412,517.417,239.165,69.9674,10.0568,738.6,965.079,708.713,2032.83,800.324,123.145,423.026,430.845,380.675,742.578,2375.61,641.192,566.78,540.793,49.3691,224.013,198.879,215.446,504.75,2652.64,4341.39,2711.65,1356.02,431.834,581.476,498.554,958.544,943.878,1033.69,1582.9,106.966,478.332,39.1005,951.65,597.96,991.611,1640.9,532.327,1398.14,658.766,84.496,403.128,64.9225,575.069,420.059,2322.01,1588.51,661.256,259.931,374.712,393.065,232.75,582.97,165.479,148.603,832.779,105.139,614.741,1.59378,495.36,85.6417,793.623,1543.31,557.061,1186.37,346.22,100.415,67.2453,1426.38,1201.85,468.086,1086.64,149.261,266.904,8.26415,562.536,327.328,804.634,1448.5,325.349,790.468,974.391,250.197,510.545,443.661,412.649,293.781,1530.95,896.309,123.844,565.787,401.79,2.26201,208.204,784.816,184.381,835.545,730.74,80.2,278.487,245.673,257.11,87.176,1492.48,1706.04,544.492,484.412,406.404,30.4914,168.378,180.919,600.913,310.894,2042.67,1010.63,2111.69,389.199,1086.14
5.944308390,978.27,822.315,24.84,90.8871,157.907,1406.47,1486.96,1288.17,1230.63,242.483,39.9767,74.3757,433.211,1151.32,2115.85,3422.43,1071.86,982.05,40.4473,391.682,92.8145,575.998,80.6748,168.571,1967,1966.99,907.749,216.493,272.731,279.486,673.314,3213.6,2048.7,1366.26,1739.88,602.551,1373.84,625.859,970.158,101.192,614.221,857.808,246.128,101.161,194.148,237.981,631.635,2316.03,916.136,314.161,132.443,739.112,120.403,98.4225,1338.62,1847.07,2497.23,2913.24,693.924,522.167,165.291,27.4643,9.84582,824.151,1297.16,1195.62,2610.1,1169.08,160.72,362.263,321.262,437.98,1546.34,3694.55,1233.08,623.03,469.888,118.199,273.29,149.96,142.43,1058.52,5032.17,10536.3,8360.61,3408.33,1710.43,1255.23,530.51,845.139,1458.65,1930.44,2430.73,455.645,602.306,191.765,1269.19,1192.07,1609.15,2247.42,1212.63,1749.81,727.779,192.101,430.08,3.12547,639.18,1027.76,3680.65,3173.56,1573.68,396.022,555.456,564.108,408.719,600.321,113.529,208.699,1309.2,610.72,1061.14,145.49,654.781,151.529,829.258,2314.88,1382.18,1337.39,372.211,109.407,367.891,2374.39,1882.44,678.325,1224.24,465.911,546.459,87.8552,610.08,548.911,1357.42,2146.22,618.27,743.878,1005.62,473.322,710.188,275.076,448.012,698.729,1989.03,1151,222.28,513.45,461.516,6.20006,134.622,1021.19,529.579,989.504,854.626,299.485,307.356,185.986,263.379,92.289,2014.03,3253.84,1383.32,263.629,518.848,174.425,211.811,125.768,759.639,673.111,3012.26,3231.46,5145.12,2393.73,2985.63
7.430385488,1850.73,1053.92,34.214,115.134,132.886,1518.9,2193.86,1703.09,1053.59,329.777,48.4814,43.2897,249.147,1565.97,3406.91,4805.9,2218.81,1285.2,181.789,459.172,330.259,757.281,12.9043,401.166,2741.25,2921.46,1501.46,267.472,375.64,157.395,941.145,4631.96,3076.1,1281.98,2166.2,1835.99,2707.5,1805.98,1237.79,56.3681,796.124,1590.14,641.682,3.83014,226.067,201.879,1327.42,2959.77,1315.54,461.592,49.5757,992.19,248.569,36.2873,1427.75,2492.3,3655.42,3908.63,1240.3,447.98,99.2817,6.34208,32.1924,916.533,1586.36,1490.48,3047.99,1726.58,171.854,337.938,318.507,481.951,2906.01,5350,1888.02,542.066,374.927,209.867,344.052,118.477,108.858,1558.05,8538.3,20711,19482.2,8896.21,4681.16,2227.57,343.845,776.769,1701.8,3063.38,3584.63,1029.76,606.337,399.316,1682.51,1890.22,2139.46,2753.22,1977.02,1944.85,743.983,285.694,472.452,35.774,633.028,1696.3,5326.99,5386.96,2851.92,810.634,810.506,701.938,592.918,627.3,40.7324,355.934,1944.33,1637.67,1714.14,562.252,815.277,210.048,760.022,3185.43,2644.71,1259.94,374.616,269.377,1053.47,3753.74,2784.92,696.09,1243.23,1182.18,1100.95,436.088,575.356,645.772,2249.62,3125.38,769.028,637.076,929.843,608.564,1018.49,160.381,540.268,1145.71,2261.3,1469.54,278.642,409.812,590.273,33.5496,135.169,1215.27,1001.24,1078.55,806.88,668.425,469.971,273.272,375.639,61.3831,2793.79,5542.58,2758.57,190.831,749.602,456.037,273.111,167.704,935.355,1028.17,3751.79,6626.9,10384.9,7605.72,7085.63
8.916462585,2848.69,1483.12,180.928,159.551,100.838,1573.22,2694.1,2016.42,696.169,471.47,75.1348,62.7082,101.664,1982.18,4454.85,6010.94,3594.74,1506.42,350.942,529.53,651.586,949.916,105.547,793.139,3620.33,3675.87,1980.93,548.122,616.206,103.035,1332.38,6395.9,4059.59,856.769,2499.68,3552.8,4610.35,3687.97,1657.76,1.67807,1158.82,2546.51,1353.22,200.809,437.187,337.692,2436.18,3356.44,1502.09,668.046,186.176,1331.78,433.667,64.7497,1413.57,2837.73,4487.77,4784.27,1806.99,298.085,66.2605,1.86601,43.2425,1021.8,1842.68,1348.36,3381.52,2349.13,195.931,382.364,482.754,665.505,4757.1,7094.16,2407.79,371.074,270.509,266.163,447.308,127.928,75.0496,1995.78,12850.9,33510.4,36035.3,19264.4,9738.26,3427.2,107.564,669.01,1649.38,4167.22,4796.46,1769.92,501.08,566.226,2183.15,2479.02,2331.26,3047.98,2554.77,1890.04,732.89,291.064,534.41,191.088,537.152,2168.76,7133.62,7679.76,4123.46,1514.09,1129.8,696.764,742.917,673.389,1.10111,572.209,2606.68,3094.33,2558.32,1124.28,918.738,259.451,619.585,4012.64,4203.45,1077.93,357.656,705.496,2112.1,5232.12,3855.93,549.455,1248.93,2282.59,1899.17,1036.43,537.47,571.565,3434.27,4442.23,741.399,597.837,781.583,606.891,1423.17,245.704,686.482,1435.7,2298.23,1743.94,292.895,315.327,785.727,116.333,260.877,1310.95,1390.28,1147.66,550.076,1163.22,882.112,637.158,616.9,112.856,3764.97,8262.12,4667.56,546.397,1081.11,764.288,351.373,328.728,1102.47,1166.44,4133.23,10549.9,17298.3,16176.8,13887.8
10.402539683,3697.08,2093.4,478.592,237.442,102.572,1553.29,2783.05,2150.12,327.86,614.221,181.421,151.071,119.886,2348.12,4782.93,6715.08,4846.18,1599.04,445.648,604.174,908.848,1116.75,395.107,1350.19,4366.71,3964.53,2181.76,988.763,1002.96,270.966,1969.13,8229.92,4836.08,332.761,2707.22,5187.86,6766.03,5969.27,2301.36,61.6376,1623.89,3467.83,2360.73,867.358,946.01,890.151,3734.22,3408.73,1376.19,892.737,566.619,1723.01,669.81,189.722,1267.22,2787.82,4664.63,5270.58,2281.86,150.602,64.3083,0.400207,28.7629,1170.12,2044.29,837.731,3598.92,2872.16,275.395,474.236,787.677,1179.06,6732.76,8504.69,2679.92,179.98,189.396,244.152,572.467,197.298,37.4061,2427.26,17000.2,46007.7,55069.4,33751.8,16574.1,4818.77,15.9823,518.713,1380.96,4877.88,5733.55,2532.25,355.251,669.182,2682.26,2731.84,2117.84,3020.18,2735.25,1607.65,680.598,204.092,603.364,451.724,380.121,2336.27,8743.78,9365.33,4950.41,2320.35,1459.51,535.873,829.052,745.88,22.0244,764.429,3173.65,4636.13,3452.75,1602.68,942.346,289.619,495.682,4650.13,5682.66,1049.82,388.269,1419.66,3323.48,6367,4825.38,446.967,1382.51,3563.91,2803.04,1692.13,562.585,442.519,4758.2,5949.39,725.462,708.873,662.256,526.737,1844.02,576.016,872.337,1435.5,2083.13,1884.61,291.502,281.436,987.186,292.701,504.914,1291.23,1504.19,1212.61,221.424,1713.38,1611.46,1268.78,950.481,329.571,4732.55,10813,6828.63,1415.18,1454.32,976.513,424.573,554.638,1231.43,1007.9,4114.94,13948.6,24406.5,26392.8,22602.6
11.888616780,4123.44,2745.41,888.515,340.436,173.637,1430.84,2433.07,2076.57,104.197,717.878,433.24,325.243,359.95,2577.68,4232.04,6712.6,5582.65,1574.64,406.133,672.301,979.114,1214.95,815.119,1989.36,4724.07,3692.71,2014.52,1439.97,1495.48,693.733,2861.94,9723.48,5277.58,19.6563,2757.33,6126.07,8657.25,8026.96,3113.28,351.53,2015.88,4069.13,3475.41,1946.04,1802.83,1948.32,4823.71,3154.44,974.953,1091.59,1069.69,2085.64,934.569,360.292,1006.73,2383.08,4088.33,5213,2556.12,84.5725,83.8475,8.75473,15.0724,1349.09,2161.62,275.405,3674.36,3127.64,422.215,563.134,1141.23,2057.51,8261.91,9206.91,2664.35,46.0063,139.105,169.279,687.97,316.693,28.1094,2909.86,19669.8,54755.2,71489.3,48941.1,23995.2,6301.63,199.437,366.369,1062.59,4940.31,6086.31,3118.04,272.823,748.681,3041.82,2548.91,1581.64,2676.05,2460.55,1188.13,580.056,80.3323,674.93,732.812,221.243,2278.38,9731.04,9866.3,5047.62,2933.72,1736.1,301.928,831.545,839.398,102.217,847.934,3526.6,5766.65,4199.91,1797.65,876.316,299.634,454.701,4997.63,6639.05,1345.93,580.964,2250.56,4314,6779.53,5364.81,621.193,1719.45,4659.55,3609.12,2134.57,681.355,461.699,5926.42,7319.4,993.396,968.562,651.462,494.325,2181.8,1044.86,1056.13,1143.5,1682.28,1821.06,320.71,307.192,1134.15,564.301,788.413,1163.64,1293.73,1278.04,22.9931,2211.68,2587.47,2023.63,1276.56,715.382,5407.55,12479.5,8764.5,2587.78,1780.97,1005.41,471.341,733.469,1310.24,621.644,3798.24,15742.4,29731,35202.6,31172.3
