TIME,30.0463,30.3998,30.7617,31.1323,31.512,31.901,32.2998,32.7087,33.128,33.5582,33.9998,34.4531,34.9187,35.397,35.8887,36.3941,36.9141,37.449,37.9998,38.5669,39.1513,39.7536,40.3748,41.0156,41.6772,42.3604,43.0664,43.7963,44.5515,45.3331,46.1426,46.9815,47.8516,48.7544,49.692,50.6664,51.6797,52.7344,53.833,54.9784,56.1736,57.4219,58.7269,60.0927,61.5234,63.024,64.5996,66.256,67.9996,69.8374,71.7773,73.8281,75.9995,78.3026,80.7495,83.3543,86.1328,89.1029,92.2852,95.7031,99.384,103.359,107.666,112.347,117.454,123.047,129.199,135.999,143.555,151.999,161.499,172.266,184.57,198.768,215.332,234.908,258.398,287.109,322.998,369.141,430.664
0.000000000,0.00663889,0.0525769,0.103716,0.00517014,0,0.00376728,0.0597104,0.145492,0.0911454,0.0142684,0.00276436,0.108283,1.10278,2.39012,2.86871,1.34516,0.169423,0,0.0187838,0.129013,0.198642,0.0981436,0,0,0.0014725,0.0121829,0.0277657,0.0113411,0,0,0.0274605,0.115659,0.156645,0.0355523,0.00117791,0.00198269,0.319517,2.68124,3.62766,1.07777,0.0282281,0,0.00469221,0.0867852,0.205788,0.0620254,0,0,0,0.000381331,0.00130656,0,0,0,0.0100848,0.183151,0.17349,0.0123014,0.000159717,0.0110307,0.497623,2.03094,2.6174,1.52081,0.139436,0,0.00138605,0.0234764,0.211191,0.124133,0.000233393,0,0,0.0565247,0.210066,0.0561662,0,0,0.00405046,0.084329,0.137814
1.486077098,0.00663889,0.0525769,0.103716,0.00517014,0,0.00376728,0.0597104,0.172933,0.125539,0.0216271,0.00276436,0.108283,1.19244,2.81771,3.29667,1.44097,0.169423,0,0.0187838,0.129013,0.235931,0.133882,0,0,0.0014725,0.0121829,0.0277657,0.0113411,0,0,0.0274605,0.15054,0.203444,0.0488743,0.00117791,0.00198269,0.360927,3.05191,4.13224,1.2461,0.0282281,0,0.00469221,0.103863,0.253785,0.0620254,0,0,0,0.000381331,0.00130656,0,0,0,0.0100848,0.19976,0.218869,0.0415634,0.00658391,0.0110307,0.593745,2.38153,3.08369,1.83498,0.220614,0,0.00138605,0.0234764,0.225755,0.138091,0.000233393,0,0,0.0565247,0.210066,0.0561662,0,0,0.00405046,0.107238,0.193707
2.972154195,0.00663889,0.0525769,0.103716,0.00517014,0,0.00376728,0.0785659,0.212889,0.125539,0.0216271,0.00276436,0.108283,1.35652,3.29708,3.89184,1.77408,0.181599,0,0.0187838,0.133084,0.240212,0.133882,0,0,0.0014725,0.0121829,0.0277657,0.0113411,0,0,0.0274605,0.162652,0.259849,0.0510011,0.00117791,0.00198269,0.452165,3.55387,4.89932,1.59303,0.0333492,0,0.00469221,0.103863,0.253785,0.0620254,0,0,0,0.000381331,0.00130656,0,0,0,0.0100848,0.237575,0.254789,0.0415634,0.00658391,0.0110307,0.593745,2.6217,3.79213,2.32615,0.23144,0,0.00138605,0.0234764,0.260301,0.179328,0.000233393,0,0,0.0565247,0.210066,0.0561662,0,0,0.00405046,0.124707,0.21245
4.458231293,0.00663889,0.0525769,0.103716,0.00517014,0,0.0040095,0.0830819,0.213369,0.125539,0.0216271,0.0078082,0.266309,1.96812,3.66604,4.0926,1.83205,0.181599,0.00139788,0.0579771,0.221635,0.263521,0.133882,0,0,0.0014725,0.0121829,0.0277657,0.0113411,0,0,0.0274605,0.165473,0.262391,0.0510011,0.00117791,0.00865565,0.730015,4.25463,5.25562,1.66455,0.0333492,0,0.00492778,0.153577,0.320311,0.0806481,0,0,0,0.000381331,0.00130656,0,0,0,0.0119936,0.243422,0.254789,0.0415634,0.00658391,0.0163107,0.815334,3.3405,4.23882,2.40168,0.23144,0,0.00138605,0.0430198,0.309673,0.204342,0.000233393,0,0,0.0565247,0.210066,0.0561662,0,0,0.00405046,0.127233,0.215764
5.944308390,0.00663889,0.0525769,0.103716,0.00517014,0,0.00436456,0.110171,0.253854,0.127969,0.0216271,0.0078082,0.286484,2.11103,3.96523,4.17116,1.83957,0.181599,0.00139788,0.0733556,0.248845,0.268023,0.133882,0,0,0.0014725,0.0121829,0.0277657,0.0113411,0,0.00216639,0.0694594,0.209192,0.267043,0.0510011,0.00117791,0.00972795,0.816052,4.63422,5.3906,1.67449,0.0333492,0,0.00860242,0.15765,0.320311,0.0806481,0,0,0,0.000381331,0.00130656,0,0,0,0.0132464,0.292012,0.296337,0.0562781,0.00658391,0.0228545,0.944595,3.49301,4.43533,2.62183,0.284163,0,0.00138605,0.0430198,0.340469,0.214386,0.000233393,0,0,0.0565247,0.210066,0.0561662,0,0,0.0211282,0.190593,0.264202
7.430385488,0.00663889,0.0525769,0.103716,0.00517014,0,0.00436456,0.110171,0.255563,0.15102,0.0413913,0.0078082,0.286484,2.11176,4.01511,4.66875,2.22024,0.216761,0.00139788,0.0733556,0.251695,0.308765,0.139764,0.000185589,0,0.0014725,0.0121829,0.0277657,0.0113411,0,0.00216639,0.0695713,0.213022,0.301629,0.0596128,0.00117791,0.00972795,0.81989,4.72075,5.94971,1.85399,0.0390456,0,0.00860242,0.162407,0.36094,0.085492,0.00014968,0,0,0.000381331,0.00130656,0,0,0,0.0132464,0.295865,0.333129,0.0792874,0.00658391,0.0228545,0.947532,3.5464,4.89216,2.85907,0.314957,0,0.00138605,0.0461169,0.384266,0.221238,0.000420559,0,0,0.0565247,0.210066,0.0561662,0,0,0.0215451,0.197282,0.292227
8.916462585,0.00663889,0.0525769,0.103716,0.00517014,0,0.00436456,0.110171,0.25613,0.165149,0.0616107,0.0271047,0.29184,2.11176,4.11726,4.9467,2.6106,0.566501,0.0702083,0.0744122,0.251695,0.316494,0.173535,0.00134522,0,0.0014725,0.0121829,0.0277657,0.0113411,0,0.00216639,0.0695713,0.213578,0.315483,0.0787363,0.014223,0.0116774,0.81989,4.83417,6.35765,2.31874,0.151184,0.0132081,0.00860242,0.177119,0.399589,0.106246,0.000373454,0,0,0.000381331,0.00130656,0,0,0,0.0132899,0.298359,0.367537,0.0949213,0.00658391,0.0228545,0.955372,3.83882,5.45814,3.1308,0.321298,0,0.00138605,0.0479983,0.405127,0.225545,0.000453707,0,0,0.0565247,0.210066,0.0561662,0,0,0.0215451,0.198796,0.328305
10.402539683,0.00663889,0.0525769,0.103716,0.00517014,0,0.00436456,0.110171,0.25613,0.19519,0.0771072,0.0271047,0.29184,2.13855,4.30877,5.07282,2.64357,0.574851,0.0702083,0.0744122,0.251695,0.316494,0.173535,0.00134522,0,0.0014725,0.0121829,0.0277657,0.0113411,0,0.00216639,0.0695713,0.213578,0.318261,0.0865524,0.0158767,0.0116774,0.822307,4.85197,6.37457,2.50548,0.330963,0.0492946,0.00860242,0.177119,0.399589,0.106246,0.000373454,0,0,0.000381331,0.00130656,0,0,0,0.0132899,0.298359,0.36854,0.128672,0.0155529,0.0228545,0.9559,3.86932,5.65909,3.33372,0.432618,0.013136,0.00138605,0.0479983,0.42569,0.239962,0.000453707,0,0,0.0565247,0.210066,0.0561662,0,0,0.0215451,0.201598,0.334428
11.888616780,0.00663889,0.0525769,0.103716,0.00517014,0,0.00436456,0.110171,0.25613,0.19519,0.0771072,0.0271047,0.29184,2.15877,4.50572,5.51535,2.75405,0.574851,0.0702083,0.0761345,0.271876,0.354377,0.18337,0.00134522,0,0.0014725,0.0121829,0.0277657,0.0113411,0,0.00216639,0.0695713,0.213578,0.318261,0.0865524,0.0158767,0.0116774,0.894143,5.28369,6.84595,2.62383,0.330963,0.0492946,0.00860242,0.177508,0.400885,0.107293,0.000373454,0,0,0.000381331,0.00130656,0,0,0,0.0132899,0.298359,0.36854,0.128672,0.0155529,0.0228545,0.962383,3.94806,5.93831,3.66461,0.432618,0.013136,0.00138605,0.0509605,0.437275,0.25129,0.000453707,0,0,0.0565247,0.210066,0.0561662,0,0,0.0215451,0.201598,0.334428
